#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
w29.oracleGeneral.bin.zst,9663676416,0.3927,0.3221,0.3905,0.3831,0.4228,0.4314,0.4048,0.3808,0.4395,0.4121,0.455,0.4584,0.3876,0.4255,0.4186,0.3821,0.3945,0.3934,0.408,0.4146,0.3815
w05.oracleGeneral.bin.zst,308163903488,0.8276,0.4542,0.7988,0.6589,0.8583,0.8836,0.7334,0.8121,0.7749,0.8631,0.8066,0.7339,0.6391,0.8782,0.8754,0.7408,0.7438,0.8066,0.7801,0.6682,0.7147
w13.oracleGeneral.bin.zst,39728447488,0.1949,0.1653,0.1963,0.1921,0.1977,0.1986,0.2101,0.1898,0.1967,0.1986,0.2322,0.2101,0.1952,0.1969,0.1863,0.1939,0.1935,0.1884,0.1958,0.1908,0.1914
w21.oracleGeneral.bin.zst,79456894976,0.8504,0.6856,0.8678,0.7902,0.9334,0.9194,0.9082,0.9286,0.8576,0.9397,0.9086,0.8603,0.791,0.934,0.9339,0.8105,0.8229,0.9086,0.8989,0.8416,0.8159
w97.oracleGeneral.bin.zst,10737418240,0.8046,0.6527,0.8053,0.7798,0.8214,0.8485,0.7971,0.7961,0.8204,0.813,0.8061,0.8107,0.757,0.8321,0.831,0.7851,0.794,0.8061,0.8101,0.7846,0.7644
w81.oracleGeneral.bin.zst,3221225472,0.8737,0.7373,0.8737,0.7561,0.8966,0.8973,0.8826,0.8655,0.8093,0.8943,0.8753,0.7929,0.7489,0.897,0.8923,0.8692,0.8811,0.8753,0.8932,0.7767,0.7612
w37.oracleGeneral.bin.zst,9663676416,0.4829,0.4206,0.483,0.4832,0.5446,0.5732,0.5441,0.5126,0.5165,0.5441,0.4948,0.5131,0.4785,0.5578,0.5368,0.4885,0.4995,0.4948,0.5347,0.4784,0.478
w59.oracleGeneral.bin.zst,2147483648,0.3733,0.1835,0.3734,0.3751,0.3564,0.3834,0.3881,0.4165,0.4711,0.3754,0.6259,0.5367,0.3731,0.3626,0.3562,0.3616,0.3674,0.4747,0.3671,0.4078,0.3688
w75.oracleGeneral.bin.zst,3221225472,0.1408,0.1145,0.1406,0.1437,0.1386,0.1632,0.156,0.144,0.1585,0.1429,0.1497,0.197,0.146,0.1408,0.1347,0.1365,0.1381,0.1429,0.1432,0.1574,0.1386
w63.oracleGeneral.bin.zst,11811160064,0.368,0.3317,0.368,0.3697,0.3778,0.3872,0.4018,0.3642,0.3959,0.382,0.3545,0.4008,0.3752,0.3836,0.3759,0.3543,0.3626,0.3545,0.3813,0.3918,0.3676
w69.oracleGeneral.bin.zst,6442450944,0.3331,0.2341,0.3375,0.339,0.3704,0.4325,0.392,0.3786,0.4226,0.367,0.3466,0.4532,0.3281,0.3826,0.3778,0.3338,0.3305,0.3438,0.3291,0.3427,0.3336
w07.oracleGeneral.bin.zst,28991029248,0.4141,0.3171,0.4133,0.4048,0.4549,0.4901,0.4669,0.4205,0.4333,0.4533,0.3831,0.4481,0.4057,0.4606,0.4448,0.397,0.3999,0.3831,0.4247,0.3982,0.4006
w11.oracleGeneral.bin.zst,16106127360,0.341,0.1642,0.3394,0.3216,0.3175,0.3487,0.3624,0.4284,0.528,0.3543,0.6722,0.5485,0.3448,0.3203,0.312,0.3169,0.3224,0.4746,0.3219,0.3815,0.3231
w53.oracleGeneral.bin.zst,119185342464,0.8753,0.7552,0.8754,0.8806,0.8797,0.8843,0.8798,0.8762,0.8719,0.8821,0.8754,0.8824,0.8626,0.882,0.8819,0.875,0.8796,0.8754,0.8823,0.8605,0.8684
w103.oracleGeneral.bin.zst,1073741824,0.2508,0.1829,0.2471,0.2484,0.252,0.2594,0.2722,0.2709,0.2805,0.2593,0.2574,0.3688,0.2476,0.2498,0.2452,0.2414,0.246,0.2343,0.244,0.2321,0.243
w45.oracleGeneral.bin.zst,578813952,0.0967,0.0477,0.0937,0.0798,0.1003,0.1167,0.1234,0.1238,0.1463,0.1105,0.105,0.1434,0.0869,0.1014,0.0951,0.0851,0.0827,0.08,0.0869,0.0752,0.0912
w19.oracleGeneral.bin.zst,7516192768,0.1291,0.0782,0.1298,0.131,0.1245,0.1557,0.1493,0.1387,0.1527,0.1268,0.3622,0.1947,0.135,0.1267,0.1258,0.1262,0.1267,0.2301,0.1274,0.1486,0.1264
w77.oracleGeneral.bin.zst,3221225472,0.3202,0.2232,0.3169,0.309,0.3969,0.4392,0.4949,0.4865,0.4932,0.4146,0.3824,0.5143,0.2984,0.3725,0.3615,0.3177,0.313,0.3722,0.3472,0.2956,0.3236
w61.oracleGeneral.bin.zst,5368709120,0.4729,0.3449,0.4585,0.4595,0.5218,0.5436,0.5552,0.5113,0.5548,0.535,0.5232,0.61,0.4704,0.5268,0.5222,0.4381,0.4391,0.4513,0.4717,0.4466,0.4452
w95.oracleGeneral.bin.zst,1073741824,0.2889,0.1918,0.2856,0.2718,0.3104,0.3543,0.3328,0.3228,0.3546,0.3161,0.2883,0.3781,0.269,0.3187,0.3169,0.2823,0.2889,0.2883,0.2929,0.273,0.2812
w23.oracleGeneral.bin.zst,15032385536,0.6705,0.4932,0.6691,0.5862,0.6559,0.661,0.6356,0.6153,0.6201,0.6581,0.6178,0.6027,0.5647,0.6555,0.6316,0.614,0.6298,0.6178,0.6561,0.5703,0.571
w35.oracleGeneral.bin.zst,10737418240,0.2821,0.1898,0.2845,0.2838,0.2916,0.3081,0.3021,0.2992,0.3014,0.2982,0.2978,0.344,0.2848,0.2936,0.2912,0.2852,0.2879,0.2936,0.2927,0.3087,0.287
w83.oracleGeneral.bin.zst,3221225472,0.6432,0.5916,0.644,0.6427,0.6774,0.6799,0.6932,0.6645,0.6863,0.6765,0.6448,0.6867,0.6127,0.679,0.6778,0.6425,0.6638,0.6448,0.6749,0.6561,0.6143
w93.oracleGeneral.bin.zst,6442450944,0.7962,0.5786,0.7962,0.6931,0.8594,0.8579,0.8362,0.8433,0.8351,0.8619,0.7781,0.8284,0.6596,0.859,0.8592,0.6806,0.7032,0.7781,0.7521,0.6996,0.6609
w25.oracleGeneral.bin.zst,32212254720,0.1855,0.1196,0.1847,0.1745,0.1422,0.1917,0.2165,0.1711,0.3055,0.1542,0.2484,0.1653,0.1848,0.1443,0.1375,0.1729,0.1617,0.1986,0.1621,0.1839,0.1727
w33.oracleGeneral.bin.zst,1073741824,0.1409,0.0814,0.1444,0.142,0.1536,0.18,0.2477,0.2709,0.277,0.1651,0.2195,0.2062,0.1339,0.1518,0.1418,0.1239,0.1213,0.1269,0.1263,0.1049,0.1223
w85.oracleGeneral.bin.zst,4294967296,0.9418,0.7824,0.9419,0.8663,0.9597,0.9603,0.9428,0.9295,0.8578,0.9576,0.9426,0.8621,0.7863,0.96,0.9591,0.9414,0.9521,0.9426,0.958,0.797,0.8016
w71.oracleGeneral.bin.zst,1073741824,0.273,0.1918,0.2634,0.2666,0.2918,0.3476,0.344,0.3092,0.3706,0.2974,0.2559,0.3543,0.2583,0.2946,0.2888,0.2598,0.2538,0.2501,0.2747,0.2455,0.2667
w09.oracleGeneral.bin.zst,226559524864,0.6923,0.4692,0.6624,0.6714,0.7218,0.7299,0.6679,0.7104,0.6301,0.7064,0.6999,0.7212,0.5636,0.7265,0.7064,0.6492,0.6578,0.6869,0.6796,0.5449,0.5944
w67.oracleGeneral.bin.zst,1073741824,0.2702,0.1465,0.2688,0.2184,0.3059,0.3282,0.3021,0.2859,0.2914,0.304,0.2504,0.3259,0.2263,0.3145,0.3016,0.2397,0.2328,0.2421,0.2514,0.2182,0.2536
w105.oracleGeneral.bin.zst,3221225472,0.8121,0.6147,0.8117,0.7378,0.8739,0.8799,0.8572,0.853,0.8203,0.8759,0.8286,0.8325,0.7025,0.877,0.8749,0.7238,0.7368,0.8286,0.7871,0.7285,0.7148
w55.oracleGeneral.bin.zst,7516192768,0.6647,0.6264,0.6649,0.6675,0.6734,0.6768,0.6849,0.7081,0.6778,0.6683,0.665,0.7581,0.6728,0.6744,0.6732,0.6659,0.6698,0.665,0.6761,0.681,0.6723
w43.oracleGeneral.bin.zst,24696061952,0.4832,0.3254,0.5019,0.4351,0.5309,0.5731,0.5312,0.5249,0.5682,0.513,0.6426,0.5386,0.4449,0.5366,0.5203,0.4706,0.4791,0.6426,0.4724,0.4983,0.4326
w01.oracleGeneral.bin.zst,136365211648,0.7231,0.602,0.7233,0.7146,0.7434,0.7542,0.7174,0.7206,0.7054,0.7402,0.7233,0.7051,0.6838,0.7515,0.751,0.7232,0.7476,0.7233,0.7506,0.7016,0.6942
w79.oracleGeneral.bin.zst,12884901888,0.9316,0.893,0.9316,0.934,0.9321,0.9374,0.9274,0.9275,0.9306,0.9315,0.9316,0.9402,0.9174,0.9324,0.9324,0.9316,0.9322,0.9316,0.9337,0.9175,0.9122
w17.oracleGeneral.bin.zst,8589934592,0.1777,0.1303,0.177,0.1706,0.1747,0.1945,0.1848,0.1842,0.1952,0.1787,0.2,0.218,0.1782,0.1808,0.1793,0.1682,0.168,0.1759,0.1749,0.181,0.1693
w73.oracleGeneral.bin.zst,1073741824,0.3235,0.2043,0.3415,0.3195,0.3592,0.373,0.3443,0.3218,0.3392,0.3465,0.3208,0.3634,0.3073,0.3374,0.326,0.3017,0.3004,0.3186,0.3153,0.2803,0.3192
